"Dimension","Best_Config1","Best_Config2"
2,1.54387815004228e-07,2.04046331123641e-05
3,0.0424418417714756,0.399089354144596
4,0.445180626345309,2.78766824495951
5,0.64196158667268,29.2527143394941
6,8.50553423739681,238.581897918394
7,24.5902650906568,526.352027022343
8,31.933777961076,3458.41983748311
9,54.5955200387541,11487.8285612844
10,83.3851868146314,23349.9122312007
11,128.004168555053,12535.3260681988
12,595.946943368828,54965.1163026032
13,784.111011002962,90503.5079111144
14,1085.38595142722,80728.9430980269
15,6240.2327870649,105240.628426034
16,4294.75382600774,173716.393323096
17,2843.0567499836,171291.956346
18,7459.16901143882,255307.543519918
19,17369.1429467848,286144.178763898
20,13661.074992333,313068.701662724
21,23170.1995986829,326971.121737613
22,37008.4711310863,416069.254718953
23,30543.8287482741,361364.859557546
24,77903.3197589866,359470.958382248
25,75720.9949232441,392439.851159298
26,48241.6094256403,531378.922085928
27,91692.4756374375,690431.119152987
28,111959.085579435,501102.144625076
29,145210.855216118,663287.994283341
30,58987.3262466519,581535.984474969
31,132319.073598667,877506.292571547
32,140547.728108809,644911.585046541
33,92701.5670740524,709279.977986187
34,86281.0535440625,880276.924127291
35,322298.510288031,937958.760973825
36,276159.90552705,910231.355285029
37,255044.577776224,1072277.1105936
38,137768.325158862,1097200.08479007
39,215211.446748849,1231336.72257687
40,513543.670241729,1046570.65260017
41,468494.05813624,1341476.83234187
42,393634.474439742,996968.458133815
43,491193.837625287,1372788.79071301
44,491196.490062416,1441839.86613747
45,431774.727067515,1528353.37971913
46,771693.595222842,1358803.94776602
47,417611.539067638,1407582.92224512
48,750750.483209228,1526044.74878673
49,609197.618482696,1554366.16269836
50,688412.340399044,1645634.2996491
51,925439.477917035,1993138.54433812
52,1015815.5838816,1909663.05186452
53,957571.710995004,1922457.29981537
54,729691.704415274,2264370.1687341
55,1257343.93171668,2370030.93700989
56,783370.769879378,2016237.26873171
57,471297.409891545,2385106.95980927
58,1088876.85374433,2266725.99622857
59,1186029.88374467,3116985.7960998
60,1344073.66112243,2089663.11203259
61,1505703.6891384,2013785.45866326
62,1388943.5970479,3570427.47750964
63,1066390.9109555,2171161.9418824
64,1711894.73945084,4085988.64883616
65,1489294.02430821,3996497.75541245
66,1455144.13844025,3831697.51137736
67,1745010.6289246,3972485.34866905
68,1610087.61105052,4470307.53594289
69,1810619.21823572,4042948.4990774
70,1705607.60982265,4432734.28634796
71,1971921.83131626,4181598.63798213
72,2322076.61341336,3703853.30198839
73,2488301.38477845,4785522.54474921
74,1989669.54736553,5133997.61241615
75,1926227.49751263,4648215.52388158
76,1709108.60149206,4338139.95978782
77,1936974.59153579,5029579.51454663
78,2969393.41031744,4156818.59199626
79,3022248.25871323,5612527.32072196
80,2688536.9253726,5050941.47627856
81,3031519.88342823,4788246.31110856
82,2254235.79799404,4926219.7906785
83,2801866.28384764,5737973.85964708
84,3217356.04591825,5441956.36320672
85,2838654.16413175,5540620.71562751
86,3111128.56698398,5496763.57821149
87,3614587.61613011,5908252.84672975
88,2278865.41083961,5540511.63119245
89,3176955.27477728,5501257.84323087
90,3847563.00702022,5536407.56553399
91,4073157.98348272,5633360.45924551
92,3868458.5671109,5516176.96776701
93,2780331.44418685,6364706.08438566
94,4438781.31039413,6509871.68423623
95,4225455.73958672,6322264.80303096
96,4566604.87996711,7046840.85943425
97,4265710.52126319,6364613.09601661
98,3761767.1269648,6855243.00284893
99,4748359.45926534,6769547.11736334
100,3029433.65080626,5746526.99621731
101,4500474.53182341,6107291.16973738
102,4722820.43020924,7289106.62631055
103,4614141.72635889,7572659.40484615
104,4520987.13541292,7238279.32291297
105,4815713.87845475,7578736.5984549
106,4361160.47927592,7350144.32258876
107,4934778.08199177,7532308.02720715
108,5664414.9571261,7574220.85269922
109,5375544.95019841,6430088.36816425
110,5597931.72648991,7784843.86175655
111,5522148.06689902,8960095.08906848
112,6071015.29345477,7908616.97182193
113,3428136.21193449,8048856.89113888
114,6308656.56797832,8240639.55417795
115,6193540.17104743,9311189.12242664
116,6535878.74022586,8729826.0238315
117,5414590.28678531,7845562.40856907
118,6397602.19829449,8117872.27320621
119,6335208.24058159,7912753.61809479
120,5287660.80738726,8285576.51286361
121,5913435.08388299,9713033.24982882
122,6489826.26416148,8128251.01788554
123,6161745.00406306,8388536.27112582
124,7646048.38156912,9269378.74814534
125,6990182.07389446,9318785.98747662
126,6465075.73549996,9467321.76791223
127,7424838.00846432,9148959.91900362
128,7432788.18128081,9345888.18158385
129,6476849.86430055,8921158.19568504
130,7478609.30219101,10665543.9117555
131,6262394.87527175,9689351.31582958
132,8600589.15440656,9260295.78062198
133,8035358.74180727,8615878.81060118
134,7834944.15677932,9223032.58403138
135,7675904.21451055,10695158.6330824
136,7238369.30412343,10509600.2964491
137,8878124.6868629,10957936.3161925
138,7903076.91982815,10566802.3120115
139,9296380.3557904,11184734.768488
140,6514378.36584829,11187586.4680637
141,9192550.02553618,11319001.0131129
142,8452739.26625054,9928491.05735796
143,7801547.22199227,9923278.72008131
144,9496263.02394248,10922102.605179
145,7258858.63229182,11992235.2730109
146,9892298.11890437,11021487.023679
147,8577365.70117895,10645121.0211331
148,8869849.37795844,12326143.8518044
149,7299977.77354669,10736690.4546961
150,9994681.10414787,11573546.6076756
